,Unnamed: 0,text,label,topic
1098,1122,"Hello Maud, Très bonne idée,ca va intéresser beaucoup de monde 👍👏 Bon we Pépé JP de ch'nord 😉",0,nothing
1077,1100,"Bon,j'ai pas pu résister à l'achat de la version Papier . J'ai commandé les 2 ,du coup ! Merci Bjorn pour vos recherches qui nous ferons gagner beaucoup de temps , de réflexions et d'argent au final ...",0,nothing
697,715,Mes le 845 c magnifiques surtout le son ❤️😊,0,nothing
518,534,"Slt slt, je voulais juste faire une remarque sur le fait d'être à proximité de grande culture de betterave sucrières, il me semble que les agriculteurs ne laissent pas monter à graine leur betteraves du coup je comprend pas trop le fait de devoir protéger nos betteraves d'une possible hybridation mais je me trompe peut-être, en tt cas merci pour cette vidéo très intéressante, j'adore cette série de A à Z",0,nothing
258,268,Tozzz et retooz la culture du haschich et du canabis ça marche 😂😂😂😂😂,0,nothing
946,968,salut Stéphane bonne année à toi force courage et très bonne santé embrasse fort toutes l'équipe et passe le bonjour à miss alicia et babylove kenzo petit prince 🦁😎✋✋🙏👍🔥🔥🔥,0,nothing
932,954,"Bonjour,quel progrès depuis 15 ans,on vas peut-ètre moins passer pour des ?????(utopiste,çela ne marchera jamais,tu te crois plus malin etc)'comme tojours du très bon boulot,pourrais-tu nous donner les dosages à l'ha de tes engrais verts?Kénavo avéchal.",0,P6
330,341,"Beau cheminement. On voit que vous ne manquez pas de courage. Vraiment bravo. Grace à des jeunes comme vous, de la nourriture saines. Moi je cultive 1000m² en MSV à bientôt 60 ans pout notre consommation personnelle. Ça fait rêver tous ces beaux légumes. Je vous souhaite beaucoup de succès. Le travail fini toujours par payer. Merci pour ce reportage",0,nothing
54,58,"Bonsoir Olivier, merci pour ce bel épisode. A bientôt.",0,nothing
1183,1209,"Au FBI , les gens qui s'attaquent aux animaux, c'est le premier signe qu'ils cherchent quans ils enquetes sur des serial killers ou de simples assassins. https://leb.fbi.gov/articles/featured-articles/the-link-between-animal-cruelty-and-human-violence",0,nothing
429,444,Monsieur vous vousxztes un homme normal et sérieux .comme beaucoup d entre vous . Mais ces technocrates ne sont pas sur le terrain ne se rendent pas compte ou ne savent pas qu il faut 3 ou 4 voir 5 ans pour faire une vache a viande digne de ce nom . .. oui suis d accord d ici tres tres peu de temps et déjà la e cas plus assez de viande en france et que vont devenir nos si belles prairies nos montagnes nos vallons . ...les sangliers ...les rats taupiers ....et !!!!!!j aime mieux m arrêter là .,1,nothing
743,761,Tu es passer sur tf1,0,nothing
1178,1204,"ça m'aide pour mes cours, je suis en stav",0,nothing
359,372,Génial ! Merci pour ces simples et précieux gestes. Je croyais que j'étais seul 😅 Je vais prendre le sujet plus au sérieux,0,nothing
644,662,pour etre en dehors du salariat es clavagiste ya pas 36 solutions epargne+investissement la libertés financiere passent par ces deux piliers alors au lieu de beugler dans la rue organisez votre propre libertes dans les pays liberaux les gens payent tout de leur poches sans intervention de etat et sont pas plus mal,1,nothing
761,781,Encore bravo ☀️🌲,0,nothing
285,296,"Bonjour, vous dites que l'agriculture française est la plus vertueuse au monde, MAIS qu'il faut aller plus loin ! Je trouve que ça n'a aucun intérêt car le nombre d'agriculteur en France ne fait que diminuer d'année en année et imposer de nouvelles contraintes (quelles soient environnementales ou autres...) va continuer d'amplifier le mouvement. Pour ""changer"" les choses il faudrait avant tout que les autres pays du monde adopte notre modèle vertueux ! Pour caricaturer rapidement: 450k agriculteurs qui se mettent au vert ça va rien changer niveau planète, en revanche 4 Milliards de paysan qui adopte un modèle qui marche là vous verrez de vrai changement !!! Faire des laboratoires et des expérimentations non seulement c'est intelligent mais c'est aussi vitale pour garder une avance ""technique"". En revanche, mettre uniquement les agri Français au ""Vert' ne servira à RIEN si ce n'est de décourager les quelques uns que se métier fait encore rêver ! Pas facile d'exprimer une idée sur Youtube, mais j'espère que vous aurez compris le fond de ma pensée...",1,nothing
624,642,Merci Olivier 👍😉. Ouiii la carotte est capricieuse !!😀. À bientôt 🙏🤲🌻,0,nothing
988,1010,Le carnage….,0,nothing
602,620,Cest beau d'avoir de la chance des fois 😊,0,nothing
