text,label,topic
Prochaines sessions de formation à la ferme ↓ fermedecagnolle.fr 11-12-13 Juillet 8-9-10 Août 26-27-28 Septembre 17-18-19 Octobre 14-15-16 Novembre 5-6-7 Décembre,0,nothing
"Comme toujours, grande qualité des commentaires et du travail. C'est du solide pour débuter",0,nothing
😅 https://youtube.com/watch?v=9nl8mw96R90&si=4Fp6uR3yvNDGn58j,0,nothing
tous les survivalistes blancs ont tous le même point en commun > profondément racistes et anti maghrébins musulmans. ils sont tous comme ça.,0,nothing
"perso,fin septembre début octobre,j'ai semé Fève,pousse tranquillement et des petits pois Sima,résiste bien,au gel,un peu butter avec de la terre et par dessus de la paille de chanvre,",0,P6
Stéphane peut faire un petit film sur ses pièges à frelon... Merci.,0,P2
sous-titres s'il vous plaît,0,nothing
"C'est dommage de ne pas consommer les feuilles, pleines de vitamines. Merci pour la vidéo très utile.",0,PRecolte
Même voix que la chaîne documents rares et inédits 😁🙏😌,0,nothing
Super vidéo moi aussi j'adore l odeur tu foin sèches.,0,nothing
Merci pour ce boulot et merci et grand hommage à Lucien qui a contribué à ces travaux exceptionnels,0,nothing
"Bonsoir Olivier merci pour cette vidéo et ces conseils pour le repiquage des salades en godets et autres semis et sur l'autre vidéo aussi pour les semis de petits pois et les mange tout ,le temps chez nous n'ai pas top un jour beau un jour pluie pour mon jardin remise en état dès que le temps le permet puis commencer certaines semis dans ma véranda et je pense que pour courant mars je commencerai à mettre en place au jardin , je dis à bientôt .Amicalement René",0,nothing
"Super vidéo, tu m'as donné envie d'essayer la black cherry, vivement l'ete prochain 👍 Je risque aussi surement de changer de variété de concombre par ta faute, mais ca va pas plaire a mes poules qui recupéraient les trop amères 😁 En retour, ça fait une paire d'année que je fais de la tétragone cornue, un peu galère à semer, mais résiste bien mieux à la chaleur que les épinards, craint dégun (enfin presque) et fait un bon couvre sol en complément d'un paillage, pratique dans le sud. Sinon se consomme comme les épinards ou en salade en jeune pousse. Le top c'est d'en faire des oreilles d’âne, comme dans les alpes (Champsaur)🤤 Assez résistante aux variations de température, elle fourni en fin de saison d'innombrables graines à cornes qu'il suffit de faire sécher sur un radiateur quelques jours. Et autant c'est assez galère a semer (mieux vaut les scarifier), autant: si elles se sentent bien, les graines oubliés ont tendance à repousser naturellement sur place au travers du paillage.",0,PRecolte
"J'ai toujours du mal avec ces coupures trop brutes. En revanche j'ai appris des trucs, c'est cool.",0,nothing
Genial! J'ai une amie qui cherche justement à faire des boutures du rosier de sa grand-mère avant de déménager. Elle est très triste car elle a testé une technique qu'elle a vu sur un réseau social qui n'a pas fonctionné. Je vais très vite lui partager car elle doit déménager dans 1 semaine ! Merci 1000 fois !,0,nothing
"Bonjour avec beaucoup de mal mais je crois avoir retenu le nom de de la jardinerie a cour la ville si je me trompe pas car j’y suis aller une fois. Et oui quand on travaille on peut pas tout faire, on en oublie, par contre je suis entièrement d’accord avec vous pour les melons car même en serre il ne réussis pas trop bien même en mettant une bâche noir en dessous ça ne les avance pas plus vite.",0,P6
