,text,label
0,Pensez-vous que l'indépendance individuelle est la clé pour une vie réussie ? Je ne suis pas sûr de le croire. Les liens humains sont essentiels et nous devons apprendre à collaborer avec nos pairs plutôt qu'à être totalement indépendants.,1
1,"Mais est-ce vraiment possible pour tous d'être autonome ? Je pense que certaines personnes ont besoin de l'aide et du soutien des autres pour survivre, pas seulement pour prospérer.",0
2,"Je suis totalement d'accord avec ce qui est dit dans cette vidéo. Il est important de s'auto-former et d'avoir une idée claire de ce que vous voulez en vie. Mais il est également important de garder le monde réel en tête, et d'apprendre à vivre en harmonie avec les autres.",0
3,"J'aime l'idée d'être plus indépendant, mais je ne suis pas sûr que cela conviendrait à mon caractère. Je suis plutôt collaboratif et j'aime travailler en équipe, donc peut-être devrais-je trouver une manière différente d'atteindre ma propre auto-suffisance.",0
4,"Je ne comprends pas pourquoi on insiste si fort sur l'auto-suffisance ? Nous vivons tous dans un monde interconnecté, et nous devons apprendre à travailler ensemble plutôt que de chercher à être seuls.",1
5,"Encore une fois, ce genre de pensée est dangereux et irresponsable. Isolationnisme ne résout pas les problèmes du monde, il en aggrave certains. Nous devons travailler ensemble pour construire un monde meilleur.",1
6,"C'est fantastique que vous ayez choisi ce sujet. L'auto-suffisance est une chose importante à prendre en considération dans notre société actuelle. J'ai beaucoup appris de cette vidéo, merci !",0
7,Je ne comprends pas pourquoi vous insistez sur l'idée de se fier à soi-même et non aux autres. La solidarité est essentielle pour la survie humaine.,1
8,"Je suis d'accord avec certaines idées de cette vidéo, mais je pense que ce n'est pas tout à fait pratique dans le monde réel. Il faut trouver un équilibre entre l'auto-suffisance et la coopération.",0
9,"Cette vidéo me fait sourire, il y a une grande vérité dans ce qui est dit ici. L'importance de l'auto-suffisance est trop souvent négligée, je pense que nous devrions nous en attacher plus.",0
10,"Encore une vidéo sur l'indépendance ! Mais où sont les solutions concrètes ? Nous avons besoin de voir comment construire notre propre logement, cultiver notre propre nourriture et vivre de manière durable. Ça fait trop longtemps que nous sommes appelés à être des pionniers dans notre vie quotidienne.",1
