,text
0,"L'autosuffisance fait référence à la capacité d'une personne ou d'un groupe de subvenir à ses propres besoins, par exemple en ce qui concerne l'alimentation (autoconsommation) et l'énergie.


L'autosuffisance est utilisé en géopolitique pour comprendre l'indépendance d'un pays en matière de ressources nécessaires à son bon fonctionnement. L'autosuffisance alimentaire est une priorité variable selon les gouvernements et selon les États. La sécurité alimentaire parfaite est atteinte lorsque l'autosuffisance alimentaire est totale.
Toutefois, la division du travail qui accompagne la spécialisation dans les sociétés capitalistes modernes pousse souvent à l'abandon de la production de certaines denrées, importées d'ailleurs. Aussi, peu d’États peuvent prétendre détenir sur leur territoire l'intégralité des ressources nécessaires à la satisfaction de sa demande intérieure.
L'autosuffisance, si elle est souvent considérée comme souhaitable, n'est pas nécessairement possible. Des zones désertiques par exemple sont déficitaires en nourriture. Quant à l'utilisation de produits chimiques, elle peut rendre une terre stérile.

L'autosuffisance est l'objet de réflexions philosophiques. Elle est parfois exprimée comme un idéal d'indépendance « spirituelle » ou « morale ». Elle est exprimée en grec ancien par le mot autarkeia, qui donne en français autarcie. 
Diogène de Sinope la professait au sein du mouvement cynique. Aristote distingue l'autosuffisance politique (celle d'une cité capable d'assouvir tous ses besoins vitaux) de l'autosuffisance divine, qui est le fait de se suffire pleinement à soi-même, et qui ne peut être atteint que par les Dieux. L'humain, étant un animal politique, a besoin d'une cité dans laquelle s'épanouir.


L'autosuffisance totale est imposée par les ressources de la nature pour les groupements humains vivant en autarcie. L'économie d'autosuffisance est prévalente dans les sociétés où la production et la consommation sont locales.
L'autosuffisance totale peut être recherchée au niveau d'une infrastructure. L'approche Haute qualité environnementale consiste à créer des maisons (construction passive), quartiers (écoquartier) ou villes capable de produire leur propre énergie et de réduire et recycler leurs déchets en les « valorisant ». La FAO elle-même encourage le retour ou le maintien d'une petite agriculture (jardinage et élevage) de subsistance et de proximité dans les villes et banlieues des pays pauvres.

L'autosuffisance est souvent utilisée dans un sens partiel. Il s'agit par exemple de l'autosuffisance énergétique (ou indépendance énergétique), obtenue ou recherchée en associant les économies d'énergie, l'efficience énergétique aux énergies renouvelables (solaire, éolien, géothermie, puits canadien et autres, certains y ajoutant le nucléaire. Il peut aussi s'agir de l'autosuffisance financière, qui permet à un État ou une entreprise de se financer sans contracter de dette extérieure.
L'autosuffisance médicale concerne la qualité d'un pays qui dispose en son sein de tout le matériel médical nécessaire pour affronter des maladies, voire des pandémies. L'autosuffisance en matière de défense est son pendant militaire. 
Certains, comme Hermann Scheer (député allemand, prix Nobel alternatif de 1999), considèrent l'autosuffisance (au moins concernant les ressources vitales) comme un des éléments nécessaires au développement soutenable et à la paix en tant qu'évitant les conflits pour l'accès aux ressources pas, peu, difficilement, lentement ou coûteusement renouvelables (pétrole, bois, poissons par exemple), ou le règlement de la dette des pays pauvres. L'autosuffisance n'exclut pas de larges échanges dans les domaines de la culture, de la communication et de la coopération ou de la gestion collaborative de ressources partagées.
Elle est un moyen de diminuer l'empreinte énergétique ou l'empreinte écologique d'une collectivité ou d'un pays."
1,"De manière générale, un auteur, une femme de lettres ou plus récemment une auteure ou une autrice, est une personne qui est à l'origine de quelque chose. On peut être l'auteur d'une découverte, d'un acte ou d'une œuvre.


Dans le domaine de la création littéraire et artistique, un auteur est une personne qui a fait une création originale manifestant sa personnalité, qu'il s'agisse de lettres, de sciences humaines ou d'art.
En littérature, l'auteur est un écrivain. Selon la nature des œuvres littéraires concernées — roman, pièce de théâtre, poésie, essai… —, on parlera de romancière ou romancier, de dramaturge, de poète, d'essayiste…
En musique, l'auteur est le parolier. Par extension, un auteur-compositeur-interprète (ACI) est une personne qui rédige les paroles et compose la musique de chansons qu'il interprète. Un auteur-compositeur est une personne qui effectue un travail de parolier et de compositeur, mais qui n'interprète pas lui-même les chansons dont il est l'auteur.
Au cinéma et à la télévision, on désigne abusivement le réalisateur comme seul « auteur » de l'œuvre (« un film de » est « un film réalisé par »). Le terme d'« auteur » recoupe ainsi une conception particulière du réalisateur et de sa production, héritée de la politique des auteurs propre à la Nouvelle Vague. Mais la loi française est formelle à ce chapitre :
— Article L113-7 du Code la propriété intellectuelleEn radio, l'auteur d'une émission est la personne qui intervient en amont, à sa conception. L'émission peut alors être créée par un producteur de radio.
En bande dessinée, l'auteur de bande dessinée. On parle d'« auteur complet » lorsqu'une seule personne assure la création de l'œuvre. Si le scénario et les dessins sont réalisés par deux personnes différentes, l'une est scénariste, l'autre, dessinateur.

Dans le domaine des sciences, l'auteur original (éventuellement avec des coauteurs) utilise des codes et méthodes dits académiques (hypothèse, théorisation, démonstration, conclusion, bibliographie, etc.) pour présenter ses travaux ou d'autres données ou notions scientifiques. 
Dans les domaines de la recherche et l'enseignement supérieur, l'auteur écrit des articles de revue scientifique et des ouvrages, notamment des ouvrages universitaires.
Le vulgarisateur dispose de plus de liberté pour mettre les contenus et découvertes scientifiques à portée d'un public de non-spécialistes.
Dans le domaine de l'innovation, l'auteur peut aussi être un inventeur.
Dans le domaine de l'informatique, l'auteur d'un logiciel est un développeur ou un concepteur de jeux.
Dans le domaine des techniques, l'auteur expose des processus techniques, produit des guides techniques.
Dans le domaine de l'éducation, l'auteur écrit des manuels scolaires 
Un auteur de jeux de société est celui qui invente les règles d'un nouveau jeu.

En droit civil, l'auteur est celui de qui une personne (l'ayant cause) tient un droit.
En droit de la propriété intellectuelle, le droit d'auteur est le droit exclusif reconnu à cette personne sur sa part de création.
En droit pénal, il existe deux types d'auteurs : l'auteur matériel et l'auteur intellectuel d'une infraction.
L'auteur matériel d'une infraction est la personne qui, soit commet une infraction, soit tente de commettre un crime ou un délit. De plus, la notion de coauteurs est utilisée pour désigner plusieurs personnes qui ont participé à la commission d'une même infraction.
L'auteur intellectuel d'une infraction est la personne qui, sans avoir participé directement à la commission d'une infraction, a organisé ou ordonné cette infraction en faisant accomplir les actes par un tiers (appelé alors auteur matériel).

Sur le Web, avec l'apparition de nouveaux genres éditoriaux tels que les blogs et la multiplication des formes de collaboration telles que les réseaux sociaux, les plateformes collaboratives, la notion d'auteur s'élargit : chaque usager est un producteur potentiel de contenu.
Évelyne Broudoux, maître de conférences en Sciences de l'information et de la communication, travaille sur le « devenir auteur » en contexte numérique.

La forme « autrice », dérivée du féminin latin auctrix, est en vigueur jusqu'au XVIIIe siècle, puis progressivement abandonnée et tombée en désuétude en France à la suite d'une longue querelle entre praticiens et grammairiens. Aurore Évain, chercheuse en sémiologie travaillant sur le sujet de la « parité linguistique » expose comment la réfutation de l'usage de ce mot, s'appuie à l'époque non seulement sur des débats sur sa formation grammaticale, mais surtout sur la remise en cause de la légitimité même des femmes à écrire. 
La forme « auteure » féminise directement le masculin latin auctor (à la manière de l'espagnol autora ou d'autres féminins comme docteure ou ingénieure). En 2002, l'Académie française range le mot « auteure » parmi les « néologismes » et les « aberrations lexicales », position qu'elle modifie nettement dans son rapport de février 2019 sur la féminisation des noms de métiers.
Dans son rapport de février 2019, l'Académie française valide également « autrice », qui « a la préférence de l'université » d'après l'académicienne Dominique Bona Le mot est davantage utilisé en Suisse et en Afrique francophone.
Le Haut Conseil à l'égalité entre les femmes et les hommes, qui recommandait en 2015 dans la première édition de son Guide pratique pour une communication publique sans stéréotype de sexe les féminins en « -eure », recommande dans la deuxième édition de 2016 le mot « autrice ».
La forme épicène « une auteur » est préconisée en 1984 par la commission de féminisation des noms instituée par Yvette Roudy et par la Chancellerie fédérale suisse en 2000 dans son Guide de formulation non sexiste des textes administratifs et législatifs de la Confédération. En 2018, l'écrivain et académicien Frédéric Vitoux suggère d'attribuer au mot « auteur » un genre grammatical féminin si l'usage général va dans ce sens, et d'oublier alors les autres formes.

En Belgique, le décret de 1993, étudié par le Conseil supérieur de la langue française impose la féminisation des noms dans les actes administratifs et offres et demandes d'emplois. La forme « auteure » alors en usage est mise en note, car elle ne respecte pas les règles traditionnelles. Lors de la mise à jour de 2005, « une auteure » et la forme épicène « une auteur » sont mises en avant, les autres formes étant mises en notes avec la mention « Auteuse, aut(h)oresse et autrice, qui est la forme régulière, non néologique, sont rares ». En 2019, le quotidien Le Soir annonce que « parce que le mot sonne clair, affirme sa féminité, s’appuie sur l'histoire et la proximité d'actrice, les Livres du Soir diront, dorénavant, autrice ».

Au Canada francophone, le mot « auteure » est préconisé dès la fin des années 1970, lors de la féminisation des noms de métiers en français. Bien qu'il soit reconnu d'une formation irrégulière, au contraire d'« autrice », c'est cette forme qui est retenue dans le Guide de féminisation des titres et des fonctions en 1986 au Québec, en raison de la prépondérance de son usage. En 2005 la linguiste canadienne Louise-L. Larivière constate l'apparition de recommandations divergentes au sein des différentes communautés francophones européennes et canadiennes, et l'adoption de la féminisation au sein du Petit Robert à partir de 2000. Pour éviter cette divergence linguistique et s'accorder avec les règles de formation du genre grammatical calquées sur des structures existantes, la nouvelle mouture du Guide de féminisation des noms communs de personnes recommande l'utilisation du mot « autrice ». Toutefois, en 2008, « auteure » reste la forme courante, même si « autrice » progresse depuis.

En France, la forme « auteure » est également employée. L'Académie française — qui, dans sa recommandation de 2002, soulignait que « les seuls féminins français en -eure (prieure, supérieure…) sont ceux qui proviennent de comparatifs latins en -or », et citait « auteure » parmi les néologismes à « éviter absolument » — adopte, le 28 février 2019, un rapport « préconisant de valider l'usage des noms de métiers féminisés »: « l’Académie considère que toutes les évolutions visant à faire reconnaître dans la langue la place aujourd’hui reconnue aux femmes dans la société peuvent être envisagées, pour peu qu’elles ne contreviennent pas aux règles élémentaires et fondamentales de la langue, en particulier aux règles morphologiques qui président à la création des formes féminines dérivées des substantifs masculins ». Elle juge toutefois qu'autrice est le féminin d'auteur « dont la formation est plus satisfaisante »."
